category,date,driver_number,flag,lap_number,meeting_key,message,scope,sector,session_key
Flag,2023-05-28 14:15:10+00:00,77,BLUE,55,1210,WAVED BLUE FLAG FOR CAR 77 (BOT) TIMED AT 16:15:10,Driver,,9094
Flag,2023-05-28 14:15:12+00:00,2,BLUE,55,1210,WAVED BLUE FLAG FOR CAR 2 (SAR) TIMED AT 16:15:11,Driver,,9094
Flag,2023-05-28 14:15:29+00:00,,CLEAR,55,1210,CLEAR IN TRACK SECTOR 7,Sector,7,9094
Flag,2023-05-28 14:15:35+00:00,,YELLOW,55,1210,YELLOW IN TRACK SECTOR 8,Sector,8,9094
Flag,2023-05-28 14:15:44+00:00,,DOUBLE YELLOW,56,1210,DOUBLE YELLOW IN TRACK SECTOR 9,Sector,9,9094
Flag,2023-05-28 14:15:48+00:00,,YELLOW,56,1210,YELLOW IN TRACK SECTOR 9,Sector,9,9094
Flag,2023-05-28 14:16:00+00:00,,CLEAR,56,1210,CLEAR IN TRACK SECTOR 9,Sector,9,9094
Other,2023-05-28 14:16:19+00:00,,,56,1210,TRACK SURFACE SLIPPERY IN TRACK SECTOR 1,,,9094
Other,2023-05-28 14:16:28+00:00,,,56,1210,TRACK SURFACE SLIPPERY IN TRACK SECTOR 19,,,9094
Flag,2023-05-28 14:16:41+00:00,20,BLUE,56,1210,WAVED BLUE FLAG FOR CAR 20 (MAG) TIMED AT 16:16:40,Driver,,9094
Flag,2023-05-28 14:16:47+00:00,,CLEAR,56,1210,CLEAR IN TRACK SECTOR 8,Sector,8,9094
Flag,2023-05-28 14:16:51+00:00,,DOUBLE YELLOW,56,1210,DOUBLE YELLOW IN TRACK SECTOR 8,Sector,8,9094
Flag,2023-05-28 14:16:53+00:00,,YELLOW,56,1210,YELLOW IN TRACK SECTOR 8,Sector,8,9094
Flag,2023-05-28 14:16:55+00:00,,CLEAR,56,1210,CLEAR IN TRACK SECTOR 8,Sector,8,9094
Flag,2023-05-28 14:17:06+00:00,,CLEAR,56,1210,CLEAR IN TRACK SECTOR 19,Sector,19,9094
Flag,2023-05-28 14:17:11+00:00,20,BLUE,56,1210,WAVED BLUE FLAG FOR CAR 20 (MAG) TIMED AT 16:17:11,Driver,,9094
Other,2023-05-28 14:17:25+00:00,,,56,1210,CAR 27 (HUL) TIME 1:40.881 DELETED - TRACK LIMITS AT TURN 10 LAP 53 16:13:36,,,9094
Other,2023-05-28 14:17:27+00:00,,,56,1210,CAR 10 (GAS) LAP DELETED - TRACK LIMITS AT TURN 10 LAP 54 16:13:49 (PIT),,,9094
Flag,2023-05-28 14:18:00+00:00,23,BLUE,57,1210,WAVED BLUE FLAG FOR CAR 23 (ALB) TIMED AT 16:18:00,Driver,,9094
Flag,2023-05-28 14:18:05+00:00,20,BLUE,57,1210,WAVED BLUE FLAG FOR CAR 20 (MAG) TIMED AT 16:18:05,Driver,,9094
Flag,2023-05-28 14:18:13+00:00,23,BLUE,57,1210,WAVED BLUE FLAG FOR CAR 23 (ALB) TIMED AT 16:18:12,Driver,,9094
Flag,2023-05-28 14:18:26+00:00,20,BLUE,57,1210,WAVED BLUE FLAG FOR CAR 20 (MAG) TIMED AT 16:18:25,Driver,,9094
Other,2023-05-28 14:18:40+00:00,,,57,1210,TRACK SURFACE SLIPPERY IN TRACK SECTOR 2,,,9094
Flag,2023-05-28 14:18:40+00:00,20,BLUE,57,1210,WAVED BLUE FLAG FOR CAR 20 (MAG) TIMED AT 16:18:40,Driver,,9094
Flag,2023-05-28 14:18:51+00:00,23,BLUE,57,1210,WAVED BLUE FLAG FOR CAR 23 (ALB) TIMED AT 16:18:50,Driver,,9094
Other,2023-05-28 14:19:10+00:00,,,57,1210,CAR 14 (ALO) TIME 2:06.635 DELETED - TRACK LIMITS AT TURN 10 LAP 55 16:15:04,,,9094
Other,2023-05-28 14:19:13+00:00,,,58,1210,CAR 20 (MAG) TIME 2:07.055 DELETED - TRACK LIMITS AT TURN 11 LAP 55 16:17:18,,,9094
Other,2023-05-28 14:19:26+00:00,,,58,1210,TURN 5 INCIDENT INVOLVING CARS 63 (RUS) AND 11 (PER) NOTED - UNSAFE REJOIN,,,9094
Flag,2023-05-28 14:19:58+00:00,20,BLACK AND WHITE,58,1210,BLACK AND WHITE FLAG FOR CAR 20 (MAG) - TRACK LIMITS,Driver,,9094
Other,2023-05-28 14:20:04+00:00,,,58,1210,CAR 14 (ALO) TIME 1:42.581 DELETED - TRACK LIMITS AT TURN 16 LAP 57 16:19:14,,,9094
Flag,2023-05-28 14:20:09+00:00,21,BLUE,58,1210,WAVED BLUE FLAG FOR CAR 21 (DEV) TIMED AT 16:20:08,Driver,,9094
Flag,2023-05-28 14:20:09+00:00,,YELLOW,58,1210,YELLOW IN TRACK SECTOR 17,Sector,17,9094
Flag,2023-05-28 14:20:25+00:00,,CLEAR,58,1210,CLEAR IN TRACK SECTOR 17,Sector,17,9094
