date,driver_number,lap_number,meeting_key,pit_duration,session_key
2023-06-03 14:45:40.708000+00:00,31,13,1211,203.1,9098
2023-06-03 14:45:57.598000+00:00,4,14,1211,213.8,9098
2023-06-03 14:46:01.114000+00:00,24,14,1211,219.8,9098
2023-06-03 14:46:13.035000+00:00,14,13,1211,238.1,9098
2023-06-03 14:46:19.020000+00:00,81,12,1211,227.7,9098
2023-06-03 14:46:22.426000+00:00,21,14,1211,257.6,9098
2023-06-03 14:46:55.331000+00:00,44,16,1211,198.9,9098
2023-06-03 14:57:35.679000+00:00,81,15,1211,404.2,9098
2023-06-03 14:57:49.195000+00:00,31,16,1211,451.9,9098
2023-06-03 14:57:55.476000+00:00,10,16,1211,464.0,9098
2023-06-03 14:58:05.726000+00:00,1,16,1211,499.3,9098
2023-06-03 14:58:08.601000+00:00,18,18,1211,475.1,9098
2023-06-03 14:58:27.194000+00:00,55,17,1211,502.5,9098
2023-06-03 14:58:34.459000+00:00,4,17,1211,486.0,9098
2023-06-03 14:59:03.818000+00:00,44,18,1211,542.1,9098
2023-06-03 15:02:20.268000+00:00,27,16,1211,770.8,9098
2023-06-03 15:05:59.092000+00:00,14,16,1211,910.7,9098
2023-06-03 15:06:03.545000+00:00,55,20,1211,198.1,9098
2023-06-03 15:06:05.420000+00:00,18,21,1211,218.2,9098
2023-06-03 15:06:08.654000+00:00,31,19,1211,228.9,9098
2023-06-03 15:06:13.311000+00:00,4,20,1211,202.2,9098
2023-06-03 15:06:16.639000+00:00,81,18,1211,262.3,9098
2023-06-03 15:06:31.857000+00:00,10,19,1211,247.8,9098
2023-06-03 15:06:56.810000+00:00,1,19,1211,271.0,9098
2023-06-03 15:07:00.591000+00:00,44,21,1211,237.4,9098
2023-06-04 13:05:22.607000+00:00,4,1,1211,37.7,9102
2023-06-04 13:10:42.773000+00:00,77,5,1211,23.6,9102
2023-06-04 13:14:44.785000+00:00,27,8,1211,22.2,9102
2023-06-04 13:16:02.690000+00:00,24,9,1211,23.4,9102
2023-06-04 13:16:07.674000+00:00,21,9,1211,22.5,9102
2023-06-04 13:17:23.938000+00:00,22,10,1211,22.1,9102
2023-06-04 13:17:29.391000+00:00,20,10,1211,22.1,9102
2023-06-04 13:21:24.402000+00:00,31,13,1211,22.1,9102
2023-06-04 13:22:41.917000+00:00,18,14,1211,22.3,9102
2023-06-04 13:23:56.212000+00:00,55,15,1211,22.3,9102
2023-06-04 13:25:39.726000+00:00,16,16,1211,21.7,9102
2023-06-04 13:25:48.070000+00:00,23,16,1211,23.3,9102
2023-06-04 13:26:55.740000+00:00,81,17,1211,22.3,9102
2023-06-04 13:27:13.177000+00:00,2,17,1211,22.5,9102
2023-06-04 13:29:32.284000+00:00,14,19,1211,22.5,9102
2023-06-04 13:29:42.394000+00:00,10,19,1211,23.3,9102
2023-06-04 13:34:13.936000+00:00,4,22,1211,22.8,9102
2023-06-04 13:36:00.934000+00:00,44,24,1211,22.5,9102
2023-06-04 13:36:51.636000+00:00,20,24,1211,24.8,9102
2023-06-04 13:37:30.510000+00:00,63,25,1211,22.2,9102
2023-06-04 13:38:29.056000+00:00,1,26,1211,22.2,9102
2023-06-04 13:39:27.836000+00:00,27,26,1211,23.2,9102
2023-06-04 13:40:19.241000+00:00,11,27,1211,21.7,9102
2023-06-04 13:49:58.247000+00:00,18,34,1211,23.3,9102
2023-06-04 13:50:01.059000+00:00,22,34,1211,22.0,9102
2023-06-04 13:51:21.730000+00:00,31,35,1211,24.1,9102
2023-06-04 13:52:48.775000+00:00,24,36,1211,22.8,9102
2023-06-04 13:53:18.056000+00:00,2,36,1211,23.8,9102
2023-06-04 13:54:36.804000+00:00,23,37,1211,23.4,9102
2023-06-04 13:55:39.834000+00:00,21,38,1211,21.9,9102
2023-06-04 13:56:52.146000+00:00,81,39,1211,22.8,9102
2023-06-04 13:56:54.067000+00:00,10,39,1211,23.6,9102
2023-06-04 13:57:22.504000+00:00,77,39,1211,24.0,9102
2023-06-04 13:59:09.768000+00:00,55,41,1211,22.3,9102
2023-06-04 13:59:36.752000+00:00,16,41,1211,23.0,9102
2023-06-04 14:01:22.406000+00:00,20,42,1211,22.2,9102
2023-06-04 14:02:29.968000+00:00,27,43,1211,24.4,9102
2023-06-04 14:03:24.420000+00:00,14,44,1211,22.8,9102
2023-06-04 14:04:20.497000+00:00,63,45,1211,22.0,9102
2023-06-04 14:10:45.927000+00:00,44,50,1211,22.7,9102
2023-06-04 14:11:04.287000+00:00,11,50,1211,21.5,9102
2023-06-04 14:12:02.129000+00:00,4,50,1211,22.0,9102
2023-06-04 14:13:07.441000+00:00,1,52,1211,22.3,9102
2023-06-16 20:41:58.298000+00:00,55,8,1212,24.7,9104
2023-06-16 20:43:05.609000+00:00,11,8,1212,22.1,9104
2023-06-16 20:43:41.172000+00:00,77,10,1212,22.1,9104
2023-06-16 20:44:28.890000+00:00,16,6,1212,329.4,9104
2023-06-16 20:48:18.512000+00:00,18,7,1212,533.8,9104
2023-06-16 20:49:55.917000+00:00,22,10,1212,365.9,9104
2023-06-16 20:50:05.745000+00:00,21,10,1212,349.0,9104
2023-06-16 20:50:31.057000+00:00,77,11,1212,318.8,9104
2023-06-16 20:51:07.057000+00:00,2,10,1212,395.3,9104
2023-06-16 20:51:20.854000+00:00,14,9,1212,582.5,9104
2023-06-16 20:52:49.212000+00:00,20,9,1212,588.1,9104
2023-06-16 20:53:04.384000+00:00,24,12,1212,384.5,9104
